tokens,tps
150,49.38
281,46.46
385,42.48
496,40.94
589,38.96
699,38.51
813,38.36
928,38.35
1046,38.45
1160,38.39
1272,38.29
1388,38.29
1485,37.81
1589,37.58
1692,37.36
1803,37.32
1919,37.39
2042,37.58
2167,37.77
2272,37.62
2377,37.48
2474,37.23
2576,37.08
2690,37.12
2822,37.37
2930,37.31
3042,37.30
3138,37.09
3260,37.18
3397,37.45
3528,37.64
3667,37.91
3767,37.75
3878,37.72
3984,37.65
4106,37.72
4248,37.97
4377,38.09
4499,38.14
4639,38.35
4744,38.26
4867,38.31
5006,38.49
5128,38.53
5254,38.60
5349,38.44
5442,38.28
5561,38.30
5676,38.29
5773,38.17
5871,38.05
5996,38.12
6107,38.09
6223,38.09
6332,38.06
6464,38.15
6563,38.05
6659,37.94
6754,37.83
6838,37.67
